"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000126709","IFI6",102.670346557471,4.82130551100081,0.551979684258016,6.72674239675307e-20,2.22386103636656e-16
"ENSG00000100311","PDGFB",22.2465478531611,-3.36058786231508,0.605513318438506,3.45426561405155e-09,4.2496854183207e-06
"ENSG00000168209","DDIT4",29.8994115070413,2.8953044583777,0.543696871036868,3.85633885510045e-09,4.2496854183207e-06
"ENSG00000004776","HSPB6",35.1750212530792,2.76480565988813,0.559073720568582,2.67126654875439e-08,2.2078018025455e-05
"ENSG00000196154","S100A4",18.6658211098482,2.92999834775953,0.620131481115133,9.3390353787761e-08,6.17497019244676e-05
"ENSG00000142173","COL6A2",46.1404366564361,2.04405227690948,0.498609230005514,1.11731882224242e-06,0.000615642671055571
"ENSG00000154277","UCHL1",50.6314039663869,2.24134685765354,0.553092560015343,1.42045333814254e-06,0.000670859819414177
"ENSG00000142871","CCN1",179.529184763776,-2.36465438996903,0.571574593569375,1.86188007477785e-06,0.000769421940901945
"ENSG00000165949","IFI27",15.0067833718698,5.80288953438312,1.46576437548453,2.4862394963857e-06,0.000913278641672348
"ENSG00000078401","EDN1",70.6171271132147,-5.37531691516632e-06,0.00144269867281447,7.35789939144415e-06,0.0022113832171013
"ENSG00000249072","AC114801.3",22.8703900380501,2.38592323137973,0.650242487780235,6.87542435435813e-06,0.0022113832171013
"ENSG00000168542","COL3A1",114.447525601642,2.116549893061,0.573637827972399,1.0795127981632e-05,0.00297405775893963
"ENSG00000198467","TPM2",77.3375939907286,1.854000689559,0.533230735479348,2.14052488901873e-05,0.00544351944853532
"ENSG00000101335","MYL9",99.4039083056118,1.80864871580772,0.53596070859008,3.12710497715007e-05,0.00738443503889867
"ENSG00000149591","TAGLN",97.0601242796464,1.75918245459227,0.535590389536145,4.27153112512939e-05,0.00941445459978517
"ENSG00000063660","GPC1",21.967300306147,1.88048943738142,0.601873922045667,5.11148716718871e-05,0.0105616103592037
"ENSG00000104368","PLAT",38.6957923477768,1.75326928835131,0.557242487952622,5.62664006017485e-05,0.0109421600229047
"ENSG00000130635","COL5A1",65.3793596239176,1.74076653191464,0.551176025524175,6.04327366711622e-05,0.0110994793019368
"ENSG00000123989","CHPF",18.4297575104396,2.12021347832058,0.689453697399888,6.77368631691567e-05,0.0117862141914333
"ENSG00000163687","DNASE1L3",15.1811328394461,1.99437305534599,0.6621211680061,8.07312136064045e-05,0.0133448696091387
"ENSG00000167779","IGFBP6",41.3050568842233,1.69327742705106,0.586180065219768,0.000117944992151175,0.0185679116215135
"ENSG00000187513","GJA4",31.0549026782318,-4.58144137883082e-06,0.00144269721922497,0.000137005117123184,0.0204696457222481
"ENSG00000164692","COL1A2",386.798276114828,1.9574724670215,0.674486139331913,0.00014859996894554,0.0204696457222481
"ENSG00000101255","TRIB3",27.7658838072869,1.63607141123041,0.582421876159243,0.000144791150205535,0.0204696457222481
"ENSG00000148677","ANKRD1",111.198514198676,-4.53457093927162e-06,0.0014426970377954,0.000204245532204597,0.027009429178736
"ENSG00000074181","NOTCH3",17.2532269214466,1.73132109382119,0.672978619882558,0.000257629543182828,0.0306216575350507
"ENSG00000108679","LGALS3BP",15.1703416902384,2.04003364314296,0.779277235387818,0.000259348581664071,0.0306216575350507
"ENSG00000198431","TXNRD1",108.472183865565,-9.03380924219056e-06,0.00144270137265895,0.000244770223450972,0.0306216575350507
"ENSG00000142156","COL6A1",64.2918998176219,1.28915466528778,0.513205256829615,0.000312845519009557,0.0325099302260399
"ENSG00000186340","THBS2",17.4790405922309,1.7177232293531,0.688389960817119,0.000314675670669473,0.0325099302260399
"ENSG00000113083","LOX",67.8919977638895,1.4771972319592,0.611930488102838,0.000301218102572276,0.0325099302260399
"ENSG00000164442","CITED2",20.1127852195901,-1.61862942206469,0.601465255765864,0.000296518450107811,0.0325099302260399
"ENSG00000038427","VCAN",16.6811093763017,1.70654131100201,0.699671403479858,0.00039530236657519,0.0396021098150781
"ENSG00000135069","PSAT1",17.6250820803273,1.64213261070383,0.689425007450886,0.000420311709168736,0.040869132662113
"ENSG00000103257","SLC7A5",14.097282901035,1.70833993407283,0.738312252632178,0.000529414828535086,0.0500070120896284
"ENSG00000136869","TLR4",24.7848140254079,-4.81289607820755e-06,0.00144269690466969,0.000550446032272043,0.0505492939636493
"ENSG00000164283","ESM1",25.2747333915559,-1.47518132997055,0.610720612459449,0.00060780683845675,0.0543083623767032
"ENSG00000163359","COL6A3",72.8666390206162,1.69838418278585,0.769091571332356,0.000766113139833191,0.0666518431654877
"ENSG00000118523","CCN2",438.630128003648,-4.25273667730262e-06,0.00144269631561539,0.000940239198202297,0.0718094800088035
"ENSG00000146674","IGFBP3",29.7176200001774,1.8729559969586,0.924520538689446,0.000896858033069513,0.0718094800088035
"ENSG00000134013","LOXL2",100.541481619895,1.27071837271517,0.595592047170366,0.00095572205698347,0.0718094800088035
"ENSG00000196139","AKR1C3",21.9549976687513,-6.46041720722813e-06,0.00144269762143895,0.000883928914977128,0.0718094800088035
"ENSG00000181649","PHLDA2",21.3424425934579,1.32783185185932,0.649417541936442,0.000913457570985795,0.0718094800088035
"ENSG00000105327","BBC3",17.7841462602693,1.49046582346143,0.733450718356826,0.000909594231681803,0.0718094800088035
"ENSG00000167772","ANGPTL4",36.2995348136807,1.22903615073125,0.610039606806781,0.0010173846581122,0.0747438595493094
"ENSG00000160932","LY6E",25.0788016382828,1.34278233698351,0.694093066686508,0.00109663553795571,0.0788147193148169
"ENSG00000135480","KRT7",105.922429147033,1.14242108495501,0.580400484032719,0.00115583484826657,0.0804832172105542
"ENSG00000162616","DNAJB4",29.7447781256359,-6.59214754503082e-06,0.00144269747911609,0.00116854035877393,0.0804832172105542
"ENSG00000108821","COL1A1",1122.1788327684,1.70568217069985,0.884856562657814,0.00124287352659995,0.0838559158967234
"ENSG00000187608","ISG15",35.5037849775423,1.84971348806323,1.03955058789513,0.00137937610401226,0.0912043479972904
"ENSG00000123384","LRP1",12.2533450872668,1.67387205657171,0.924804842899181,0.00143189228497196,0.0928203116493591
"ENSG00000116285","ERRFI1",21.9109786763706,1.32010174917521,0.745047878618697,0.00148470034422791,0.094392679577259
"ENSG00000178573","MAF",14.4663064882242,-1.45743860244299,0.747617665591428,0.00157448246560097,0.0982120571939019
"ENSG00000203883","SOX18",40.5986837348738,-1.65193283047387,0.872598453249429,0.00162472772139461,0.0994694416098255
"ENSG00000107796","ACTA2",48.0266341743298,1.09978946486025,0.63283598521343,0.00174424209963018,0.103298878364016
"ENSG00000159674","SPON2",29.023781547549,1.13905392534043,0.669826557808056,0.00174976926448424,0.103298878364016
"ENSG00000137331","IER3",120.718177490285,-1.04532458579656,0.579837355800619,0.0018194400676521,0.105527523923822
"ENSG00000262902","MTCO1P40",52.6957107812327,1.09399288205388,0.662969947318153,0.00196652225846799,0.112091768732675
"ENSG00000151012","SLC7A11",44.2692946427772,-6.95536987576184e-06,0.00144269692665313,0.00202407851552033,0.113417009700173
"ENSG00000091879","ANGPT2",47.0153194577351,-6.33331053327078e-06,0.00144269676166057,0.00213120885544802,0.117429607935186
"ENSG00000137573","SULF1",20.1862255642906,1.12727966357747,0.749496520371699,0.00224337060488635,0.119622309996037
"ENSG00000149257","SERPINH1",67.9916386298773,1.10299961951669,0.687172759238369,0.00222680803831924,0.119622309996037
"ENSG00000118515","SGK1",82.3591028327358,-6.78432737578284e-06,0.00144269637688368,0.00312311961999569,0.163889420058821
"ENSG00000147889","CDKN2A",13.2524151684506,1.11065163974183,1.09220807816062,0.00343300850422418,0.17733634554633
"ENSG00000275757","5_8S_rRNA",117.128585830291,1.51855148545761,1.46070044748433,0.00389350494625764,0.198029651574273
"ENSG00000237973","MTCO1P12",445.217767015902,1.07407323410467,1.03849596226562,0.00400459633088815,0.200593870756306
"ENSG00000202058","RN7SKP80",17.3706564150878,4.36274369801286e-06,0.00144269531028178,0.00438150497544764,0.216197842519849
"ENSG00000210077","MT-TV",110.319262081455,5.45995732326145e-06,0.00144269532025962,0.00464899994544689,0.226023438524227
"ENSG00000099875","MKNK2",30.1586681783477,5.48253890548239e-06,0.00144269536890432,0.00473107551110196,0.226680226662363
