"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000214900","LINC01588",36.8776871819898,3.50891244600111,0.956514628583825,1.64578943869933e-05,0.0182686847947371
"ENSG00000173258","ZNF483",38.3809699502082,4.19721482226224,1.13962660077229,8.46126556301185e-06,0.0182686847947371
"ENSG00000137642","SORL1",23.0897730567117,3.9040633990523,1.06661220239312,2.08497616627116e-05,0.0182686847947371
"ENSG00000188783","PRELP",22.6026049229704,4.46545384929557,1.04911268087418,1.15387873808382e-06,0.0182686847947371
"ENSG00000158458","NRG2",11.468919919207,5.57193571856243,1.70918953818653,1.12901583414554e-05,0.0182686847947371
"ENSG00000272068","AL365181.2",14.5485885021389,4.14571839760344,1.25176063818055,5.46937113230553e-05,0.0182686847947371
"ENSG00000279839","AL512383.1",13.0723035094887,4.67757434196395,1.43225377688868,7.9497218707179e-05,0.0182686847947371
"ENSG00000232611","AL683813.1",17.1816944387071,3.86224289995069,1.1850569404873,5.7284142083196e-05,0.0182686847947371
"ENSG00000130997","POLN",19.5739064512561,3.71171715323804,1.11320960442655,4.42605512497284e-05,0.0182686847947371
"ENSG00000259776","AC093426.1",12.1876683947085,4.11172477464171,1.19353647878766,5.35488493059491e-05,0.0182686847947371
"ENSG00000211448","DIO2",9.36589705932754,5.02849476260814,1.82411512495967,7.57573960649802e-05,0.0182686847947371
"ENSG00000280381","AC026362.2",28.8907682263888,3.15474289779376,0.969772356459664,7.00405254242792e-05,0.0182686847947371
"ENSG00000234663","LINC01934",21.3569707360493,3.33001796204937,1.00804696143601,5.53356473525439e-05,0.0182686847947371
"ENSG00000161270","NPHS1",36.0749803552615,3.36626884032547,0.939884981938256,2.09991591145958e-05,0.0182686847947371
"ENSG00000185942","NKAIN3",6.91369405315903,5.18803273593998,1.69016320518891,6.5953683967529e-05,0.0182686847947371
"ENSG00000197594","ENPP1",18.2135371354193,3.78793830368082,1.06901987973712,1.66467218713558e-05,0.0182686847947371
"ENSG00000277268","LHX1-DT",18.5470702332962,4.18240241901798,1.36602065818039,6.9061114869641e-05,0.0182686847947371
"ENSG00000128655","PDE11A",20.83477273959,4.21253247494898,1.16518334788474,1.50294296606087e-05,0.0182686847947371
"ENSG00000261653","AC092337.1",15.1241652204542,4.195490698854,1.25087963187344,4.5603269444488e-05,0.0182686847947371
"ENSG00000176049","JAKMIP2",18.8562183544473,3.73319126171902,1.07497214750384,3.44137944978048e-05,0.0182686847947371
"ENSG00000152931","PART1",28.8185210915873,3.52299506993688,1.05505234321571,4.36125643506349e-05,0.0182686847947371
"ENSG00000172782","FADS6",15.6672911121907,3.93787336354485,1.14134878579369,2.8427065205605e-05,0.0182686847947371
"ENSG00000237401","LINC01304",24.6563323689654,3.37820685520243,1.03313771409154,6.20070464613099e-05,0.0182686847947371
"ENSG00000267348","GEMIN7-AS1",57.0574477702393,3.40419483115045,1.01812553730761,4.49212100058091e-05,0.0182686847947371
"ENSG00000225465","RFPL1S",36.8810369535746,3.3200593379217,0.988869061314035,4.86142049863259e-05,0.0182686847947371
"ENSG00000270641","TSIX",32.9765711031499,3.46735332569177,1.0015975866058,2.6235320744938e-05,0.0182686847947371
"ENSG00000005471","ABCB4",11.4206529594637,5.54579475068112,1.74433584583767,1.71459561044085e-05,0.0182686847947371
"ENSG00000121446","RGSL1",9.40372715065096,5.1095817682102,1.79996361115255,6.37429486642352e-05,0.0182686847947371
"ENSG00000239941","AC108718.1",6.57955838644484,6.87724998553213,2.89854285316531,3.63950875360305e-05,0.0182686847947371
"ENSG00000258733","LINC02328",12.2041727661893,8.01050007994242,2.98312266269944,2.69489366854752e-06,0.0182686847947371
"ENSG00000255537","AP000708.1",28.132389611789,3.83714314356358,1.12022355003164,3.57612852871163e-05,0.0182686847947371
"ENSG00000259100","COILP1",8.28649574203365,7.21838749790238,2.96121949668806,2.22405555051504e-05,0.0182686847947371
"ENSG00000250049","AC114316.1",11.0309179123221,7.84157700696855,2.98008737029617,4.64962702818434e-06,0.0182686847947371
"ENSG00000263257","AC040173.1",10.3298773822161,5.83675368123764,1.7134407264978,1.52305844131724e-05,0.0182686847947371
"ENSG00000232077","LINC01031",37.2514846344005,4.47454014447706,1.21232978960957,9.10247930745509e-06,0.0182686847947371
"ENSG00000173826","KCNH6",14.7262587408067,3.98249699120885,1.22549173166898,7.50385759564293e-05,0.0182686847947371
"ENSG00000245573","BDNF-AS",28.7397158639574,3.2295661100457,0.951906250392153,4.35909498435978e-05,0.0182686847947371
"ENSG00000224074","LINC00691",17.654398482928,3.7728732343592,1.12954881755405,7.69621534730295e-05,0.0182686847947371
"ENSG00000262265","AC002558.3",12.0956135474916,4.3312970281514,1.25347998828098,4.72917429917374e-05,0.0182686847947371
"ENSG00000177699","AC011944.1",39.6156360956417,3.46406817822181,1.02268967132213,4.38012081145891e-05,0.0182686847947371
"ENSG00000182676","PPP1R27",9.44891952694266,5.12187160816251,1.78442569657952,5.23697270275514e-05,0.0182686847947371
"ENSG00000164796","CSMD3",18.2394840592243,3.69243363655132,1.10251369650688,6.3838973965558e-05,0.0182686847947371
"ENSG00000267402","TCF4-AS2",8.97824705381887,7.44860281157053,2.93028740994069,9.33468299826634e-06,0.0182686847947371
"ENSG00000104888","SLC17A7",20.4965258290536,3.69239592409852,1.06572637998444,2.47852019427058e-05,0.0182686847947371
"ENSG00000175161","CADM2",15.4853371085927,4.49056672581137,1.26810249219986,2.12718890373169e-05,0.0182686847947371
"ENSG00000133401","PDZD2",17.5340891149851,3.63416125367061,1.08857652561648,6.77163209337541e-05,0.0182686847947371
"ENSG00000161960","EIF4A1",8.80829610159877,5.58543896357531,1.70814516791087,2.81007403331467e-05,0.0182686847947371
"ENSG00000235021","AL591848.1",7.28754625451975,6.90075592169013,3.00641287445625,6.38711309661635e-05,0.0182686847947371
"ENSG00000231915","SALL4P5",12.2236996090043,4.63891805617913,1.49633419160852,6.48897513364085e-05,0.0182686847947371
"ENSG00000136531","SCN2A",7.32636588766182,6.87001721714345,3.01592965789052,7.00687665615481e-05,0.0182686847947371
"ENSG00000123243","ITIH5",31.6165637463372,3.3858624102246,1.04989683514164,7.86773992715283e-05,0.0182686847947371
"ENSG00000225650","EIF2S2P5",14.6935548244238,4.52916351339458,1.42845658175026,6.06202388557051e-05,0.0182686847947371
"ENSG00000146122","DAAM2",21.1682537253496,3.52908019304386,1.07969735720378,5.77801023442319e-05,0.0182686847947371
"ENSG00000287271","AC011455.8",21.5732135009617,3.59930348717696,1.07471869437034,4.5010849488885e-05,0.0182686847947371
"ENSG00000254567","UBTFL9",5.75232134144845,6.60060226039483,2.89901220841801,7.21605388123665e-05,0.0182686847947371
"ENSG00000232300","FAM215B",41.1088692324278,3.09523245307908,0.951862935484943,7.06788391964296e-05,0.0182686847947371
"ENSG00000229739","PDC-AS1",24.1272985068262,3.39250346784699,1.02985373662438,6.33916891964034e-05,0.0182686847947371
"ENSG00000205488","CALML3-AS1",8.57825553253837,5.43767412691415,1.81600244742721,7.82337685930468e-05,0.0182686847947371
"ENSG00000124493","GRM4",17.8397747659627,3.48628390224633,1.07184378011057,6.70929366170412e-05,0.0182686847947371
"ENSG00000225934","FAM133FP",8.94637475864565,5.48865709367504,1.80706648764177,6.44885612388048e-05,0.0182686847947371
"ENSG00000259770","AC015871.1",7.5780262143429,7.01706304253455,2.99789913787844,4.77457775707365e-05,0.0182686847947371
"ENSG00000280429","AF001548.3",23.7438387926465,3.37464553936901,0.984132702248889,3.52323677032953e-05,0.0182686847947371
"ENSG00000172367","PDZD3",6.93355232048229,6.90602513585644,2.93398757506823,4.16154242690792e-05,0.0182686847947371
"ENSG00000287129","AC097500.1",8.94202034451252,7.33672289033448,3.01148728322343,2.40086847986403e-05,0.0182686847947371
"ENSG00000091831","ESR1",14.6809381205187,4.35644173876756,1.2542735253146,4.12692102053765e-05,0.0182686847947371
"ENSG00000278920","AC005005.4",52.0030835191967,3.38339665849695,0.939170742096044,2.06934367775946e-05,0.0182686847947371
"ENSG00000279061","Z98043.1",70.6752548813372,3.26806577805273,0.940041746347524,3.15676703972125e-05,0.0182686847947371
"ENSG00000167419","LPO",58.2689795553637,3.0311161294962,0.918370111797266,6.43836628666866e-05,0.0182686847947371
"ENSG00000139220","PPFIA2",6.27802771800343,6.71341823557604,2.90378975119574,5.42089988045655e-05,0.0182686847947371
"ENSG00000012171","SEMA3B",654.013277612163,2.94398961597617,0.896237023983507,7.91671605460565e-05,0.0182686847947371
"ENSG00000118997","DNAH7",88.5400434043302,2.88080786450164,0.869311240226141,6.88479280576417e-05,0.0182686847947371
"ENSG00000259704","AC124248.1",11.009610729565,4.80600073655746,1.54582230078624,8.10933065076693e-05,0.0183733251680644
"ENSG00000235142","LINC02532",9.9576547854594,4.98345583569511,1.54197050438147,8.22047522228918e-05,0.0183733251680644
"ENSG00000100342","APOL1",15.0470259632001,3.52721650827513,1.12662285603882,8.50015447765802e-05,0.0186665225297106
"ENSG00000257966","OLA1P3",16.3379881433515,3.50348079444561,1.13128392200648,8.58046818906774e-05,0.0186665225297106
"ENSG00000161082","CELF5",39.4615153140713,3.26954666637938,1.05445673664928,0.00010024676540298,0.0190767643773384
"ENSG00000197099","AC068631.1",12.9982095098,3.77323776389583,1.18376015462041,9.33349882953605e-05,0.0190767643773384
"ENSG00000182463","TSHZ2",28.4855160839764,3.06064066709783,0.995750954971151,0.000117423190003603,0.0190767643773384
"ENSG00000287760","AC099521.3",7.28930774481717,5.20174457039674,1.75353781982357,9.09940254518064e-05,0.0190767643773384
"ENSG00000182389","CACNB4",42.1317263871481,2.85530754239066,0.900154888105515,0.000108911353364172,0.0190767643773384
"ENSG00000222536","RNU2-39P",6.5101795512837,6.64254914238441,2.99767123394227,0.000103044251361806,0.0190767643773384
"ENSG00000287045","AC072028.1",8.28440676381436,4.83045783674361,1.80766897326851,0.000106691825680471,0.0190767643773384
"ENSG00000235236","AC137630.2",13.4241752028343,3.81112268853616,1.20242035861633,9.66561273603244e-05,0.0190767643773384
"ENSG00000286125","AC006115.2",12.9596225707274,4.15900097990074,1.26536000893782,0.00011808980155131,0.0190767643773384
"ENSG00000280356","AL021877.2",9.04940966527801,4.53166709692832,1.4728202819267,9.39323468669202e-05,0.0190767643773384
"ENSG00000108381","ASPA",12.1098336334138,4.58121713592898,1.53530976516826,9.64348055823695e-05,0.0190767643773384
"ENSG00000153898","MCOLN2",5.65824816521507,6.43692391654877,2.92645922203827,0.000112608278224099,0.0190767643773384
"ENSG00000256955","AC131009.2",6.65588455957483,5.08643964526621,1.73852542907849,0.000110928459200006,0.0190767643773384
"ENSG00000152056","AP1S3",28.988301068789,3.12061031528193,1.00225935733134,0.000110942152696913,0.0190767643773384
"ENSG00000188112","C6orf132",27.2033990369316,2.96212024130617,0.930386627611989,0.000103838615420079,0.0190767643773384
"ENSG00000066468","FGFR2",22.3122271299419,3.41046603073537,1.1123427808995,9.77105056537843e-05,0.0190767643773384
"ENSG00000179455","MKRN3",14.2637760496031,4.04695985948366,1.28704808695991,9.06980101077526e-05,0.0190767643773384
"ENSG00000174450","GOLGA6L2",20.3537000968748,3.39532690453469,1.11690829280284,0.000114480084141534,0.0190767643773384
"ENSG00000262801","U91319.1",13.1638021113005,3.7434354616278,1.23698880933737,0.000115329781243817,0.0190767643773384
"ENSG00000130167","TSPAN16",16.2135512601096,3.3255688675574,1.05589935860201,9.89885168412995e-05,0.0190767643773384
"ENSG00000197471","SPN",29.3130161698869,3.1572027550998,1.01361721388412,0.000115858441936249,0.0190767643773384
"ENSG00000234509","AP000253.1",7.16746564405998,5.15074067620837,1.77779598170483,0.000115988231875282,0.0190767643773384
"ENSG00000150656","CNDP1",31.0074276788366,3.14005552179321,1.01007368464894,0.000116884686010369,0.0190767643773384
"ENSG00000286707","AC010896.1",8.25824122130763,4.8778560139261,1.8121493624698,0.000111849145688638,0.0190767643773384
"ENSG00000241743","XACT",154.006800879155,2.67308174780111,0.822484323476885,0.000102522932020669,0.0190767643773384
"ENSG00000169758","TMEM266",38.9903707882655,2.87419568327465,0.911152389953603,0.000113497415215777,0.0190767643773384
"ENSG00000285821","AC011899.3",11.604876335562,3.94464583596546,1.29470876707929,0.000120010847261449,0.0191970292540961
"ENSG00000116183","PAPPA2",13.6938296395161,3.41493069702118,1.10071500169805,0.000122443643039176,0.0193960240759923
"ENSG00000237125","HAND2-AS1",14.3537125927145,3.61090493135078,1.16413333466463,0.000133863109724491,0.0196537894706004
"ENSG00000241388","HNF1A-AS1",17.2842476857236,3.55453198331054,1.17962776636027,0.00012658672496184,0.0196537894706004
"ENSG00000286808","AC092338.3",12.4833009397306,3.73149829681496,1.18310489400945,0.000143889838100031,0.0196537894706004
"ENSG00000214128","TMEM213",18.9759605005132,3.12894784555103,1.0192879887926,0.000140848615875094,0.0196537894706004
"ENSG00000278156","TSC22D1-AS1",20.6836656803231,3.30958809709327,1.10291610526828,0.000133817848334594,0.0196537894706004
"ENSG00000205930","C21orf62-AS1",14.5500447905151,3.24554370706673,1.07002802061243,0.000143990294384612,0.0196537894706004
"ENSG00000279879","AC091152.4",13.6928440342838,3.6996307149273,1.20216715268372,0.000145747973130848,0.0196537894706004
"ENSG00000143603","KCNN3",21.3871750145264,3.43144324063406,1.123464129282,0.000133466435359848,0.0196537894706004
"ENSG00000159167","STC1",14.8794189692694,3.64462724233663,1.1881404408089,0.000143525507638365,0.0196537894706004
"ENSG00000198346","ZNF813",26.1108206460699,2.88404274739455,0.929408922582795,0.000129000957080572,0.0196537894706004
"ENSG00000164270","HTR4",8.44068082110791,4.39886061035623,1.48923117416397,0.000141962721181499,0.0196537894706004
"ENSG00000274135","Metazoa_SRP",14.3410585020791,3.58721386066517,1.16940742823604,0.000144976485190761,0.0196537894706004
"ENSG00000280401","AC022532.1",12.2326652759896,4.5041586882957,1.56895410664599,0.000125726176952772,0.0196537894706004
"ENSG00000260316","AL008727.1",14.6558490405103,3.68281724872897,1.26907214045591,0.000145907088608064,0.0196537894706004
"ENSG00000267526","AC005702.2",4.9749546382124,6.27926393919102,2.89239657319541,0.000140473998795079,0.0196537894706004
"ENSG00000112530","PACRG",5.97649704956202,6.46804277054002,2.97510898408304,0.000130490357204968,0.0196537894706004
"ENSG00000071909","MYO3B",55.3104114715548,2.98604780796807,0.975336240521287,0.000145421692842279,0.0196537894706004
