"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000044574","HSPA5",2808.53506877105,-2.66621382368491,0.122550276329399,4.41346368194052e-106,2.34752133242416e-102
"ENSG00000166598","HSP90B1",1172.02523864798,-2.03329530126708,0.1120816789288,1.00872365568347e-74,2.68270056229018e-71
"ENSG00000209082","MT-TL1",366.951652966308,-2.67354934630761,0.148963809503492,3.71101887506013e-73,6.5796364654816e-70
"ENSG00000204389","HSPA1A",242.514371396422,-3.68218634760114,0.208450696723898,3.83194885625135e-71,5.09553399160023e-68
"ENSG00000145050","MANF",446.468078291571,-2.49464066438359,0.150092570344828,3.30280175016611e-63,3.5135205018267e-60
"ENSG00000155660","PDIA4",258.852542823853,-2.43954027238712,0.165989804737987,2.76370174988664e-50,2.45002160127451e-47
"ENSG00000184164","CRELD2",144.030514148944,-2.89208583594493,0.219460686406331,1.3087446395396e-40,9.94458962530159e-38
"ENSG00000149428","HYOU1",309.856214298352,-1.99616957369338,0.155568843831656,7.17656351205339e-39,4.7715176650765e-36
"ENSG00000149257","SERPINH1",367.861127871044,-1.74861219216371,0.138591574796978,7.45907311021459e-38,4.40831220813682e-35
"ENSG00000106211","HSPB1",772.178817155225,-1.57346396723294,0.129013507498965,2.01136170539199e-35,1.069843291098e-32
"ENSG00000004478","FKBP4",119.124539192299,-2.66811154819559,0.229314519904281,1.43426563428009e-32,6.93532628066889e-30
"ENSG00000109971","HSPA8",490.145263010761,-1.44426904284105,0.12929447852658,3.27024059704401e-30,1.44953414463976e-27
"ENSG00000179218","CALR",1983.62325883719,-1.31748115351363,0.119852080242184,2.35948093298863e-29,9.65390698658965e-27
"ENSG00000128228","SDF2L1",152.93554124037,-2.00206070924108,0.195840749102317,8.73682523046491e-26,3.31936952863163e-23
"ENSG00000125740","FOSB",145.034490523642,-2.15789044884041,0.215754301566243,9.98720946232565e-25,3.54146447534068e-22
"ENSG00000204388","HSPA1B",68.8568856668933,-3.14005775530799,0.319049025313187,8.20307577337441e-24,2.72701000241115e-21
"ENSG00000211459","MT-RNR1",1416.98803176659,-1.15454940218326,0.120507236753722,5.74043722803816e-23,1.7960815068197e-20
"ENSG00000080824","HSP90AA1",730.311786741144,-1.35660431320817,0.142162359610878,8.06040842888319e-23,2.38185069073498e-20
"ENSG00000051108","HERPUD1",333.456383419229,-1.33495292721999,0.146827347106171,6.14634648043053e-21,1.72065352260053e-18
"ENSG00000090520","DNAJB11",135.312542136086,-1.81553676832132,0.201579996940063,1.56818319967457e-20,4.17058321953451e-18
"ENSG00000167797","CDK2AP2",173.412851622201,-2.01285976411409,0.231215808468302,2.02522421181305e-19,5.12960361077792e-17
"ENSG00000210077","MT-TV",235.994256422061,-1.71866843739122,0.202148278715807,1.15468844843266e-18,2.67034254661448e-16
"ENSG00000102580","DNAJC3",132.433871528957,-1.73841399973161,0.204487769983032,1.12667773637994e-18,2.67034254661448e-16
"ENSG00000142188","TMEM50B",84.2236134156172,-2.07719705418316,0.256181648547389,3.52350285078649e-17,7.80896319305557e-15
"ENSG00000210082","MT-RNR2",12637.5356154291,-0.897023863726745,0.111256163287939,5.20276543608865e-17,1.10694037418222e-14
"ENSG00000071537","SEL1L",122.635692494328,-1.68261464075811,0.210448570253052,7.18608569506551e-17,1.47010730046359e-14
"ENSG00000170345","FOS",147.765325058621,-1.52969670963192,0.199749610031868,1.0372618112176e-15,2.04340576809867e-13
"ENSG00000210049","MT-TF",103.099183571699,-2.0531989456336,0.268838463265516,1.20881409097948e-15,2.2963150535428e-13
"ENSG00000120738","EGR1",80.5740136041802,-2.09161120930383,0.27554301390495,1.53581084559332e-15,2.81688892679685e-13
"ENSG00000113811","SELENOK",107.084701366228,-1.66049268205231,0.220280547632554,2.82048944969015e-15,5.00072779430063e-13
"ENSG00000236060","HSPB1P1",147.924022050102,-1.55854354184154,0.219239547953432,7.81077412944262e-14,1.34017766433888e-11
"ENSG00000128590","DNAJB9",101.906057138642,-1.54492649374573,0.225881657506256,4.51836751234038e-13,7.51037399941828e-11
"ENSG00000104635","SLC39A14",75.4814999698657,-1.72449934120464,0.264922319554479,3.45522402156375e-12,5.56919290021139e-10
"ENSG00000064666","CNN2",210.914560967875,-1.1334712407766,0.177581228424147,1.11362891977605e-11,1.74217418361436e-09
"ENSG00000120694","HSPH1",229.320627479845,-1.01587353261291,0.162397569525376,2.48278560686773e-11,3.7731247551227e-09
"ENSG00000063241","ISOC2",74.5440873058006,-1.69006804793198,0.270308453724256,2.79527226074882e-11,4.13001476525639e-09
"ENSG00000127528","KLF2",57.9730584072128,-2.06479941426452,0.334262147770463,3.24311547231604e-11,4.66219762087811e-09
"ENSG00000112096","SOD2",109.899412656844,1.58885768299011,0.256918593409908,3.42665775199057e-11,4.7964191007468e-09
"ENSG00000210100","MT-TI",48.102655760325,-2.05123442613218,0.336649282740684,7.12746260160778e-11,9.72076245588507e-09
"ENSG00000132002","DNAJB1",131.69951096941,-1.18645280984815,0.198472869367972,1.28965497191492e-10,1.71491869890386e-08
"ENSG00000168439","STIP1",116.603642529746,-1.20739345110348,0.204542660637727,2.1492449836415e-10,2.78825221170467e-08
"ENSG00000096384","HSP90AB1",536.078670634235,-0.794692870800018,0.136209156565452,3.9212528866705e-10,4.96598669147629e-08
"ENSG00000144381","HSPD1",114.992576240926,-1.30261555939846,0.225904126983903,4.30660053855623e-10,5.32716471269316e-08
"ENSG00000110917","MLEC",75.709120348766,-1.45642895309224,0.258013032516346,9.56350790336734e-10,1.1560976940457e-07
"ENSG00000184254","ALDH1A3",65.2115787239853,1.65398587667097,0.295757338925361,1.13040644783958e-09,1.33614042134638e-07
"ENSG00000225138","SLC9A3-AS1",55.5321307537819,1.98262966024077,0.370620224509263,3.74518598250507e-09,4.33057483498793e-07
"ENSG00000003436","TFPI",708.284243822675,0.629115264919587,0.115419727194408,4.85893136113717e-09,5.49886295955076e-07
"ENSG00000143870","PDIA6",172.698404441201,-0.925360421437659,0.177047959756135,1.06045047936452e-08,1.17511168744581e-06
"ENSG00000100219","XBP1",91.1046360259747,-1.17313540629054,0.22777350445693,1.52464503398915e-08,1.6550177419976e-06
"ENSG00000127022","CANX",365.376019807783,-0.68306800721428,0.132270210742016,2.08948202402263e-08,2.22279097715527e-06
"ENSG00000100311","PDGFB",291.493453030493,0.832614868606993,0.165423639686153,3.43863048413234e-08,3.58628932256861e-06
"ENSG00000174437","ATP2A2",170.057245358199,-0.866940014407308,0.175019113958035,5.11192685221298e-08,5.22891133210016e-06
"ENSG00000007908","SELE",27.6887550295045,2.11623346425611,0.434002429941539,5.97630503524025e-08,5.99772952498923e-06
"ENSG00000137331","IER3",565.644548531147,0.702640098744704,0.144434580470331,9.24050672631624e-08,9.1018991254215e-06
"ENSG00000105835","NAMPT",88.124444061986,1.08869812408157,0.228346578073533,1.05950229622691e-07,1.02463503884199e-05
"ENSG00000152795","HNRNPDL",71.5768269804031,1.36079433914404,0.289014441167522,1.25121126863387e-07,1.1884272746185e-05
"ENSG00000120742","SERP1",170.828869592046,-0.911390084107094,0.194629585070309,1.73189431583428e-07,1.61613085367062e-05
"ENSG00000256618","MTRNR2L1",163.195375395735,-1.07650262593766,0.232771087505372,2.13138831495814e-07,1.9546300771142e-05
"ENSG00000177606","JUN",193.772475421936,-0.770199651674984,0.165786497243229,2.53238237948771e-07,2.28300709771104e-05
"ENSG00000086061","DNAJA1",200.281883567216,-0.759117410403563,0.167657730108105,4.28509468140906e-07,3.79873643506913e-05
"ENSG00000120129","DUSP1",84.588745212229,-1.08052929029332,0.242603514289874,4.90242448584715e-07,4.27475341642967e-05
"ENSG00000100591","AHSA1",112.391988446675,-0.985877309872782,0.224713439615772,6.93498290588703e-07,5.94954420587308e-05
"ENSG00000168497","CAVIN2",87.1316894516624,-1.0718257801327,0.244410508194614,7.07949459669946e-07,5.97711615235626e-05
"ENSG00000099622","CIRBP",88.5869061073416,1.02815562211333,0.237748077741684,8.24554527314033e-07,6.85282114184897e-05
"ENSG00000070081","NUCB2",59.8633372579654,-1.22831510336674,0.285571092806309,8.48409411849424e-07,6.94259947942629e-05
"ENSG00000188229","TUBB4B",318.649103866454,-0.635139581553884,0.144720530031066,9.71382632585754e-07,7.82846094352065e-05
"ENSG00000259706","HSP90B2P",42.0737147325337,-1.48317011134407,0.348849197722908,1.20571901528834e-06,9.29452093089662e-05
"ENSG00000164683","HEY1",73.5296039212294,1.13204975705583,0.266128321354402,1.17450552684329e-06,9.29452093089662e-05
"ENSG00000210196","MT-TP",41.3777025066433,-1.47797107263192,0.347354213622242,1.18847518075833e-06,9.29452093089662e-05
"ENSG00000163739","CXCL1",124.804421643456,2.12145554051789,0.516922834053438,1.6883282198252e-06,0.000128288825732146
"ENSG00000198961","PJA2",74.706006252991,-1.0797856036575,0.26271593084727,2.00327949636963e-06,0.000150076671002677
"ENSG00000167552","TUBA1A",759.258322700399,-0.493384085959601,0.116701764744324,2.95202407826035e-06,0.000218080778781483
"ENSG00000160691","SHC1",264.622586042782,-0.625935609900108,0.151093997154518,3.02355938031887e-06,0.000220305648546795
"ENSG00000156976","EIF4A2",167.19537467944,-0.792324843754746,0.193663562245983,3.08314293816078e-06,0.000221611314703745
"ENSG00000139567","ACVRL1",84.9738766456502,0.959269731889008,0.239529319856109,3.47436364984081e-06,0.00024640187004671
"ENSG00000183010","PYCR1",65.3135420888163,-1.30064611543767,0.325088948134177,3.70252724760496e-06,0.000259128189868563
"ENSG00000099875","MKNK2",86.3128679763939,-1.1246418304845,0.28624913037094,4.53533459670247e-06,0.000313291489868317
"ENSG00000090861","AARS1",70.6049754014333,-1.05008027911413,0.268957549625707,5.72620250578343e-06,0.000390482963182847
"ENSG00000135269","TES",75.2534697868155,-0.969969744348634,0.25154483603053,6.89936378441174e-06,0.000464528050244127
