"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000204389","HSPA1A",370.507794047652,-3.57534562825006,0.288257952294686,8.62410304505294e-37,7.03123121263166e-33
"ENSG00000184164","CRELD2",290.663653202637,-2.40849955605735,0.241881938728559,1.16646773957627e-24,4.75510574038265e-21
"ENSG00000166598","HSP90B1",2716.11852296298,-2.20705300331322,0.229203946206194,2.87716664132365e-23,7.81917987557058e-20
"ENSG00000044574","HSPA5",6826.75856378564,-2.23075510535483,0.254278555833248,8.47776670219346e-20,1.72798079807458e-16
"ENSG00000155660","PDIA4",646.384135219066,-2.70615897773707,0.310310111525419,1.28446618380118e-19,2.09445055930621e-16
"ENSG00000145050","MANF",948.091049420261,-2.11614028142226,0.247645413856296,7.2332490876917e-19,9.82877996865841e-16
"ENSG00000142188","TMEM50B",149.68539335137,-2.56821861634416,0.306163495761633,3.43743546812047e-18,4.00363019594089e-15
"ENSG00000149428","HYOU1",667.267755104131,-1.97860307894292,0.257736138954408,8.69489374177628e-16,8.86118358458775e-13
"ENSG00000167797","CDK2AP2",284.101996193456,-1.81053337123338,0.241629216058223,3.56482598025573e-15,3.22933624633611e-12
"ENSG00000071537","SEL1L",243.296282876774,-2.29235285050125,0.308529487709158,5.32543173479164e-15,4.34182449337563e-12
"ENSG00000170345","FOS",174.270574341154,-1.9638003321406,0.277914346268871,8.32665018208749e-14,6.17156172132357e-11
"ENSG00000209082","MT-TL1",368.425483751755,-2.42146541829322,0.346696123547886,9.18614370384514e-14,6.24121913478745e-11
"ENSG00000004478","FKBP4",184.517820746776,-2.17197966320005,0.30996645690227,1.3895049566379e-13,8.7143337780529e-11
"ENSG00000204388","HSPA1B",125.382957665683,-2.55344019278669,0.371004729478078,2.20839322785921e-13,1.28607357048115e-10
"ENSG00000090520","DNAJB11",403.138394656977,-2.41300311175843,0.349862251277345,2.72441956736343e-13,1.4808128488476e-10
"ENSG00000113811","SELENOK",184.053065427123,-1.78957922870097,0.263933505951899,6.08551748207224e-13,3.10095150195844e-10
"ENSG00000104635","SLC39A14",142.362299905515,-2.02336517158248,0.315117795613443,5.27339055310562e-12,2.52905606938059e-09
"ENSG00000051108","HERPUD1",597.15714477057,-1.34402999094608,0.219698038711241,4.9543831078831e-11,2.24406030436505e-08
"ENSG00000102580","DNAJC3",218.36192368684,-1.72709210380518,0.291277757118233,1.16364477447478e-10,4.74359792314643e-08
"ENSG00000080824","HSP90AA1",1572.18887398387,-1.21453145035427,0.20307161846006,1.16228777370453e-10,4.74359792314643e-08
"ENSG00000128228","SDF2L1",416.671127003476,-1.56070569278102,0.269797879361064,3.86336400195751e-10,1.49990508133141e-07
"ENSG00000099958","DERL3",23.1996718888538,-5.32033653115478,0.983741317533788,9.2177831851841e-09,3.41602665040027e-06
"ENSG00000109971","HSPA8",1075.82848678411,-1.07621778401716,0.206947312300228,1.06799269100092e-08,3.78580191727415e-06
"ENSG00000163739","CXCL1",209.770569099747,1.88803565443473,0.369452954626884,1.4172915631996e-08,4.81465754781929e-06
"ENSG00000129910","CDH15",32.6865365614177,-2.82372150337073,0.60504428251748,9.23911450376206e-08,3.01306002196688e-05
"ENSG00000172716","SLFN11",25.5885866051125,-3.20878647585179,0.68980812756466,1.17534836331229e-07,3.68562123310967e-05
"ENSG00000100591","AHSA1",202.269779545806,-1.22046110679264,0.260166255845111,1.36860375300073e-07,4.13267644378331e-05
"ENSG00000167004","PDIA3",520.271409519779,-1.10536710002286,0.237367200377249,1.59369029435021e-07,4.64048463208474e-05
"ENSG00000210100","MT-TI",81.2866617527226,-1.73104825904146,0.371685216590396,1.78925989247637e-07,5.03028824253789e-05
"ENSG00000063241","ISOC2",252.280234551998,-1.64164839325539,0.359589838330573,2.51097757033692e-07,6.82400004365229e-05
"ENSG00000149257","SERPINH1",1227.17413838039,-1.19765632048004,0.265736507376421,3.15671793035061e-07,8.30216815682211e-05
"ENSG00000120694","HSPH1",235.578332016457,-1.16613486138622,0.262056998365485,4.39796629936974e-07,0.00011205193512113
"ENSG00000117616","RSRP1",85.052764120856,-1.47929562279652,0.35212676810389,1.1318660153763e-06,0.000279639503738272
"ENSG00000177606","JUN",206.451194744694,-1.06806449482582,0.262693446629123,2.30302935123712e-06,0.000552252891195184
"ENSG00000120708","TGFBI",1507.76771143501,1.02350709188708,0.254997550414367,3.01497688638627e-06,0.000702317330134493
"ENSG00000179218","CALR",4972.45858348371,-1.18625273511575,0.301881275201626,3.81609117311149e-06,0.000864238648177165
"ENSG00000128590","DNAJB9",146.499713431335,-1.23249211437804,0.320726169277019,4.80982819028179e-06,0.00105985214149642
