"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000104267","CA2",25.8172913449325,-3.56164553138807,0.61357130084438,3.24271353806116e-10,1.2299612449866e-06
"ENSG00000165507","DEPP1",25.2789565775956,-2.95590868348961,0.57889370690048,1.40528383927419e-08,2.6651208011835e-05
"ENSG00000151012","SLC7A11",55.3720546818749,2.34287541035427,0.468674513187456,3.61882259999012e-08,4.5753980405875e-05
"ENSG00000020577","SAMD4A",34.058542430508,2.1404504537987,0.468887629875662,2.39988932560822e-07,0.0002275695053008
"ENSG00000167861","HID1",31.1403824857358,-2.56366127529387,0.57712149414109,3.46411428139088e-07,0.000262787709386312
"ENSG00000189058","APOD",29.3090035170042,-3.12024223535799,0.806663058923902,3.84318524446156e-06,0.00193496410717426
"ENSG00000163661","PTX3",88.8633439805814,-1.88764450243995,0.492555016480978,5.07015935181912e-06,0.00193496410717426
"ENSG00000142156","COL6A1",28.7745537684059,1.85820765133098,0.486701292819349,5.61154895304952e-06,0.00193496410717426
"ENSG00000171115","GIMAP8",27.7262131635952,-2.12530576474793,0.546771128199612,3.30363170601202e-06,0.00193496410717426
"ENSG00000023909","GCLM",33.0926216349222,2.14191638003545,0.534958784335494,4.2384573849669e-06,0.00193496410717426
"ENSG00000236972","FABP5P1",20.623609001942,-2.67810494233095,0.69441803396244,5.31891142286484e-06,0.00193496410717426
"ENSG00000236044","FABP5P2",24.3400031024321,-2.16318429846121,0.587931297332696,7.84050724729937e-06,0.00247825366575054
"ENSG00000099260","PALMD",36.5247460426904,-1.96499131442955,0.549281653087436,1.18622349028602e-05,0.00346103515281144
"ENSG00000110042","DTX4",34.2244387422762,-1.91210229164144,0.539093343560461,1.33267034345303e-05,0.00361058472336952
"ENSG00000170323","FABP4",274.08322851374,-1.88667229951319,0.529192406437664,1.80634809862461e-05,0.00456765222538877
"ENSG00000234964","FABP5P7",31.2663542485876,-1.88581403622853,0.570016551551904,3.1170505898929e-05,0.00738935805466486
"ENSG00000178695","KCTD12",238.495502218025,-1.77224817556978,0.540953764508759,4.76514651490062e-05,0.0106318827829518
"ENSG00000117707","PROX1",31.4704919438683,-1.76977280550879,0.572645830707246,6.5266125645884e-05,0.0137530230319354
"ENSG00000105538","RASIP1",25.5520107947777,-1.82454731458622,0.62022807368066,8.70567816617828e-05,0.017379282781218
"ENSG00000108821","COL1A1",349.565586306159,1.65046749097953,0.567684849865126,0.000142012088335189,0.0269325925527685
"ENSG00000107562","CXCL12",29.3113561943606,-1.67451069631328,0.596822870870939,0.000150924169156193,0.0272597796956877
"ENSG00000184867","ARMCX2",22.4927782096225,-1.71753115844629,0.631249485847093,0.000175162411175353,0.030199592072187
"ENSG00000210184","MT-TS2",32.8414171094393,1.59997387244858,0.558545080181827,0.000188746336225723,0.0311267327523551
"ENSG00000168497","CAVIN2",28.6291286385605,-1.52094830715526,0.5656125420457,0.000198402402237546,0.0313558463202922
"ENSG00000116679","IVNS1ABP",16.1382960182882,-4.84747048330748e-06,0.00144269710376378,0.000210279489189076,0.0319036040997666
"ENSG00000133561","GIMAP6",23.1321310160576,-1.70714842826402,0.64072196446996,0.000231206971449133,0.0337295401040985
"ENSG00000164692","COL1A2",120.28857538172,1.29055690269194,0.475370190341939,0.000283504242232495,0.0387928178851324
"ENSG00000155876","RRAGA",28.9594752797473,-1.45934922299035,0.572528880906521,0.000286369338461299,0.0387928178851324
"ENSG00000120738","EGR1",30.4065792934477,-6.51802325305712e-06,0.00144269815232215,0.000333389663484043,0.0436050687446543
"ENSG00000164687","FABP5",58.7530787866065,-6.90650316738294e-06,0.00144269854368221,0.000360845059043299,0.0456228436317078
"ENSG00000198408","OGA",21.991913313973,1.57150449785603,0.606582201812603,0.000373417297039793,0.0456894131507076
"ENSG00000198355","PIM3",164.087943331998,-1.25865749496396,0.529740394540125,0.000550793036452755,0.0652861871020406
"ENSG00000270547","LINC01235",111.875784326083,-7.42696659035878e-06,0.00144269868850987,0.000571894620299919,0.0657135136307411
"ENSG00000154380","ENAH",17.9049225703321,1.58764123867912,0.661655587483957,0.000606373049585009,0.0657135136307411
"ENSG00000167552","TUBA1A",273.796743830505,-1.25322912649565,0.537682303338021,0.00060314477071404,0.0657135136307411
"ENSG00000044574","HSPA5",406.269334770707,-5.60717883015203e-06,0.00144269736959726,0.000632641975530806,0.0666558614774541
"ENSG00000138190","EXOC6",22.8959930090471,-5.6063047348913e-06,0.00144269699521853,0.000735841660286508,0.0754337139855871
"ENSG00000186352","ANKRD37",26.1832756080215,-6.0433677371899e-06,0.00144269726084247,0.000756639750171802,0.0755245940105696
"ENSG00000196611","MMP1",31.0356071221618,1.34505280257448e-06,0.00144269519573885,0.000995008991128061,0.0967710026499676
"ENSG00000198431","TXNRD1",169.639344114006,0.951431801743503,0.462410264591633,0.00105434419803363,0.0999781885785386
"ENSG00000169744","LDB2",21.4498309008903,-5.60183796400183e-06,0.00144269662652654,0.001126071794359,0.104175373561065
"ENSG00000010319","SEMA3G",18.0323974237635,-4.69837295399686e-06,0.00144269627416469,0.00121283526714479,0.105424494802015
"ENSG00000168003","SLC3A2",35.8465989559215,1.18981392403169,0.575042231633266,0.00122295749308955,0.105424494802015
"ENSG00000137507","LRRC32",29.7344908240107,-6.16260150878651e-06,0.00144269692381873,0.00122062333322225,0.105424494802015
"ENSG00000206149","HERC2P9",25.2292584274789,-5.06605922337411e-06,0.00144269633130226,0.00132468478992783,0.111656209071028
"ENSG00000106351","AGFG2",14.6245103252447,-4.00941156510044e-06,0.00144269585265636,0.00155154151867958,0.127934716964166
"ENSG00000181222","POLR2A",28.0090618898381,-5.5998490374052e-06,0.00144269644792266,0.00161767426726647,0.130549755228547
"ENSG00000105835","NAMPT",39.9948133509553,-5.87844070299858e-06,0.00144269648395329,0.00169848232961985,0.134215489088502
