"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000126709","IFI6",485.136789233639,6.0782669068705,0.517632514701138,1.224767334438e-33,1.69409817699464e-29
"ENSG00000204389","HSPA1A",347.235045270515,-3.19183571267321,0.289019910501236,1.77508140576207e-29,1.22764630022505e-25
"ENSG00000044574","HSPA5",3772.41257002773,-3.11314584742175,0.293252733642995,1.50970522912784e-27,6.96074757643212e-24
"ENSG00000112096","SOD2",432.800818076898,3.383999065838,0.319999169961277,2.89320480875072e-27,1.000470222866e-23
"ENSG00000142156","COL6A1",245.352834625723,4.85763883340636,0.484178065710812,8.9587404334514e-25,2.47834595350999e-21
"ENSG00000171223","JUNB",510.474665556023,2.83869461061725,0.298049184642348,9.59576078456795e-23,2.21214271953573e-19
"ENSG00000140465","CYP1A1",80.6608820920172,-4.16151028865282,0.438163624118234,2.07706060978764e-22,4.10427176494038e-19
"ENSG00000108821","COL1A1",1618.92127342167,3.86038045675121,0.412179465699732,4.54674010990441e-22,7.86131365002472e-19
"ENSG00000166598","HSP90B1",1612.02152926604,-2.12281657444275,0.233664937064313,6.86794205949183e-21,1.05552638407657e-17
"ENSG00000164692","COL1A2",823.936697875078,3.65609966478728,0.412200708176812,4.22290551831182e-20,5.84112291292891e-17
"ENSG00000163359","COL6A3",169.754986574113,4.67084973946105,0.525134988868158,5.90733334574919e-20,7.42820316712753e-17
"ENSG00000145050","MANF",619.266528729964,-2.50374574815603,0.289847467088741,4.53581842885682e-19,5.22828670899563e-16
"ENSG00000184164","CRELD2",206.537915112419,-2.55770953107817,0.298186415817183,7.58522838673091e-19,8.07068300348169e-16
"ENSG00000168497","CAVIN2",92.0669739117368,-3.29756050280434,0.386886956443835,1.34332891296816e-18,1.32720896601254e-15
"ENSG00000168542","COL3A1",251.767771461113,4.70263123971014,0.560616982727165,1.80980378926602e-18,1.66888040087517e-15
"ENSG00000146674","IGFBP3",128.850559188016,4.29913445787716,0.529902907447398,2.29489217480889e-17,1.98393428512228e-14
"ENSG00000142188","TMEM50B",107.314155940111,-3.16353664287753,0.401347226212949,5.90974358632646e-17,4.80844548741574e-14
"ENSG00000151012","SLC7A11",187.103896122885,2.56768343697752,0.320724148446447,7.4221024891575e-17,5.70347342389036e-14
"ENSG00000124216","SNAI1",175.460835495749,2.56303231967721,0.323706341259005,1.2648903525062e-16,9.20840176624511e-14
"ENSG00000142173","COL6A2",160.448584185188,4.38198194227156,0.5690135587885,5.69889475690858e-16,3.94135561387798e-13
"ENSG00000120694","HSPH1",262.273491149237,-2.20380057284249,0.292618084375101,2.72663830609135e-15,1.79594576427883e-12
"ENSG00000167552","TUBA1A",770.768768842805,-2.0557461411994,0.272904622709515,3.72781945610526e-15,2.31324709123868e-12
"ENSG00000162616","DNAJB4",366.344797933618,-2.09168100775345,0.278479231358001,3.8464924160273e-15,2.31324709123868e-12
"ENSG00000170323","FABP4",722.024198764223,-1.93154646771494,0.260219781457912,7.37022677356327e-15,4.2477073638303e-12
"ENSG00000130635","COL5A1",142.231049400013,3.56685262841834,0.490136146319165,1.76717048403055e-14,9.77740085404425e-12
"ENSG00000155660","PDIA4",364.556793394286,-2.24977574726026,0.31230514878063,5.11485837894837e-14,2.72110465760053e-11
"ENSG00000184557","SOCS3",69.5754132083463,4.41986396789352,0.610619757492784,5.74583012795458e-14,2.94356749369881e-11
"ENSG00000124875","CXCL6",79.4173556102639,5.03390594091477,0.706197580747673,9.24749359144049e-14,4.5682618341716e-11
"ENSG00000123384","LRP1",49.5659485542659,4.36444247736196,0.620188432892203,2.41708668343018e-13,1.15286700017953e-10
"ENSG00000164687","FABP5",133.246343919656,-2.5761823653743,0.388256978388613,1.14573482987493e-12,5.28260138894337e-10
"ENSG00000003989","SLC7A2",54.3955570712368,3.34656620805284,0.495152024022236,1.27888027771379e-12,5.7062812907539e-10
"ENSG00000196611","MMP1",428.303385017737,3.19842144087067,0.480010579412565,1.5207133045973e-12,6.48405711324075e-10
"ENSG00000128228","SDF2L1",204.061648187045,-2.24292030139299,0.333030901134295,1.54694827022083e-12,6.48405711324075e-10
"ENSG00000101335","MYL9",129.308707952165,2.75674096376378,0.415557299274588,2.02841442980348e-12,8.25206717442405e-10
"ENSG00000186352","ANKRD37",52.4652433447065,-3.00245633387085,0.452378154322504,2.39137316643651e-12,9.45070675375708e-10
"ENSG00000169429","CXCL8",534.14942821048,2.72608188379003,0.413130943052297,2.53280695419588e-12,9.73160716401038e-10
"ENSG00000081041","CXCL2",121.872319980711,2.70516373377549,0.41415266004286,4.05232320145917e-12,1.5149117438536e-09
"ENSG00000183090","FREM3",54.3751803858038,-2.90604470172915,0.445688520283772,5.25677890299689e-12,1.91346752069087e-09
"ENSG00000090339","ICAM1",115.681488116523,3.71865085423595,0.572407188249058,6.38605641869366e-12,2.26492134316335e-09
"ENSG00000173334","TRIB1",58.6947237837592,3.14086670253484,0.487084730386382,6.84591435067059e-12,2.36731718246189e-09
"ENSG00000167772","ANGPTL4",102.092033532608,2.99600287545669,0.470099466084576,1.14039977704394e-11,3.84731944294434e-09
"ENSG00000167797","CDK2AP2",236.67594824381,-2.14725199501985,0.335771987156456,1.18196102899034e-11,3.89259165547484e-09
"ENSG00000108679","LGALS3BP",48.7731192167046,4.38983307243291,0.676508764744841,1.40931395509905e-11,4.53340247137909e-09
"ENSG00000209082","MT-TL1",478.812232551763,-3.48060495591004,0.551812205399931,1.77230273483705e-11,5.57147532460594e-09
"ENSG00000138449","SLC40A1",184.753419439691,-1.97921308705305,0.314507259178458,2.49042725587045e-11,7.65501995626669e-09
"ENSG00000159674","SPON2",42.118894648885,4.41274724626425,0.703447279985526,3.93342128392724e-11,1.18276267824525e-08
"ENSG00000134107","BHLHE40",70.9015487089583,2.80441820359461,0.455637785391989,4.33388558862654e-11,1.27545330769962e-08
"ENSG00000120708","TGFBI",414.456585655902,2.70080482452944,0.440065304818437,5.00362959144684e-11,1.44187926060193e-08
"ENSG00000149591","TAGLN",145.736754505287,2.20686609338189,0.359181734763684,5.93164480151895e-11,1.67441858968592e-08
"ENSG00000172602","RND1",36.8423837107903,3.90360731954154,0.633503402098945,9.20316663481643e-11,2.54596401785562e-08
"ENSG00000165092","ALDH1A1",1287.55987374982,-1.52853252848094,0.257783498412977,2.53429839609159e-10,6.74123373360363e-08
"ENSG00000185215","TNFAIP2",80.4759343428027,2.50732497768896,0.424457977408835,2.49716516691388e-10,6.74123373360363e-08
"ENSG00000114315","HES1",189.572614168302,1.87791004985019,0.320934075211122,3.51648860320605e-10,9.1773717659521e-08
"ENSG00000107796","ACTA2",59.9862020846816,3.11852660452566,0.537475090813331,4.12359296262816e-10,1.05625070109394e-07
"ENSG00000107984","DKK1",37.6266338100106,-3.00657928014739,0.516476123438892,5.0105673170446e-10,1.26011212962474e-07
"ENSG00000117707","PROX1",76.9701793474785,-2.21646709916216,0.390971336098545,5.89564514828529e-10,1.45622435162647e-07
"ENSG00000198691","ABCA4",46.4485449959951,-3.55468987685433,0.613364988296268,6.95469610770238e-10,1.68767292213578e-07
"ENSG00000210100","MT-TI",63.6119308995506,-2.44565560680692,0.427204963682511,8.1118462250832e-10,1.93453546526467e-07
"ENSG00000134013","LOXL2",209.388621940096,1.89102034157251,0.334259553937423,1.02708848261014e-09,2.40791320194297e-07
"ENSG00000134824","FADS2",90.4984868522575,2.96855362526636,0.530726274842894,1.31612570078143e-09,3.03410844886812e-07
"ENSG00000149428","HYOU1",428.857866386922,-1.95642356864249,0.347473803162832,1.35065012276033e-09,3.06265450787227e-07
"ENSG00000163739","CXCL1",189.932251011527,2.36002534367629,0.42535396425438,1.70635489573209e-09,3.80682272867198e-07
"ENSG00000159403","C1R",37.6203820912964,4.2494840803185,0.749003298461676,1.76628268447319e-09,3.8779717605767e-07
"ENSG00000011465","DCN",66.9664460995103,3.53932200647335,0.643040343860855,2.35425045164571e-09,5.08812378861929e-07
"ENSG00000071537","SEL1L",170.437356796248,-1.66844086981932,0.302989096747654,2.59424007939693e-09,5.52054288895666e-07
"ENSG00000163874","ZC3H12A",52.8324627186553,3.36060833653457,0.625443125834381,2.83376810447936e-09,5.9388909729028e-07
"ENSG00000126861","OMG",15.9966099613234,-9.13975396020037,2.91695276723178,3.30344223520795e-09,6.81988253692483e-07
"ENSG00000168003","SLC3A2",160.755211944733,1.8863622311557,0.345819413418834,3.56968962117642e-09,7.24486657874915e-07
"ENSG00000210049","MT-TF",134.386669606855,-2.52132242342056,0.460848250005925,3.61405287690639e-09,7.24486657874915e-07
"ENSG00000160888","IER2",349.281884377161,1.472065705157,0.269260903680655,3.80651106327097e-09,7.52166586102343e-07
"ENSG00000123989","CHPF",42.9651361797147,3.34865925161778,0.620466728935022,4.09249804814365e-09,7.97287788759478e-07
"ENSG00000204388","HSPA1B",109.396322108757,-1.83984758449586,0.339894904878991,4.17145401536931e-09,8.01382665841503e-07
"ENSG00000164104","HMGB2",74.1498854659761,2.31639130116761,0.434876214211329,5.33355106548099e-09,1.0105983333936e-06
"ENSG00000157227","MMP14",162.077557421503,1.90712865919816,0.356189467095528,6.10967192966325e-09,1.14201327204192e-06
"ENSG00000154277","UCHL1",78.0152336342303,2.69863707069443,0.506435748860813,6.4430603456523e-09,1.18827214268083e-06
"ENSG00000178695","KCTD12",362.151424717841,-1.49567076669397,0.281745319064626,8.76748698386218e-09,1.57495948001015e-06
"ENSG00000095303","PTGS1",44.1400386012451,3.07497203467043,0.583631924895737,8.69124984590976e-09,1.57495948001015e-06
"ENSG00000198467","TPM2",151.570148866921,2.21802433421441,0.420275210179572,8.89501181978314e-09,1.57738209604154e-06
"ENSG00000064300","NGFR",21.090357997893,8.08881499355915,2.70369157909882,9.3204262292742e-09,1.63190045067495e-06
"ENSG00000182752","PAPPA",104.349297842608,2.52340668131097,0.480476158028697,1.00714865885964e-08,1.74136003116831e-06
"ENSG00000164400","CSF2",28.2950716328323,4.81379973271643,0.871624212460869,1.07001738470964e-08,1.82721981053133e-06
"ENSG00000185262","UBALD2",171.213118037813,1.57941072713902,0.300916970603522,1.18205440138164e-08,1.99392396096473e-06
"ENSG00000130303","BST2",21.4707989986384,8.1198094267472,2.71803017034058,1.20368310545487e-08,2.00594514634358e-06
"ENSG00000184292","TACSTD2",59.2982074797868,-2.13335752664637,0.411221273138905,1.29847220482138e-08,2.13815089727254e-06
"ENSG00000187608","ISG15",113.422982138024,2.71617903196136,0.526600496278614,1.45478596202653e-08,2.36736463844129e-06
