"","name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000109861","CTSC",860.629151332773,3.45314663533176,0.220103202402017,8.96625314771352e-57,1.15987450718822e-52
"ENSG00000115380","EFEMP1",5344.02570525798,-2.66207106710827,0.188932549978469,2.91376284624714e-46,1.88462180895265e-42
"ENSG00000142156","COL6A1",838.20440246895,3.14836387254756,0.230587302748437,1.12889326438376e-43,4.86778775602277e-40
"ENSG00000168542","COL3A1",651.932651268046,2.977987968792,0.234020648083734,2.99943266126794e-38,9.70016522654053e-35
"ENSG00000160180","TFF3",464.310347257092,-3.4987691181234,0.276246207592695,5.5532273352097e-38,1.41725391345623e-34
"ENSG00000124875","CXCL6",266.923163388383,4.59959645464742,0.361554544986033,6.57353392141109e-38,1.41725391345623e-34
"ENSG00000163739","CXCL1",503.086652945179,3.11371963225898,0.248716674838559,3.45227470494716e-37,6.37980365474236e-34
"ENSG00000164161","HHIP",1225.59267856088,-2.50521243383721,0.206052349105983,3.53753172323932e-35,5.72018879647798e-32
"ENSG00000196611","MMP1",3824.42096131821,2.63300666166451,0.218811092476243,1.84391425964446e-34,2.65031942919564e-31
"ENSG00000184058","TBX1",218.070868423209,-3.5536542536696,0.304569361536132,1.12899057083935e-32,1.46046220243778e-29
"ENSG00000011465","DCN",377.177748848983,3.00232968019211,0.269322690439298,4.64522886040423e-30,5.46278913983537e-27
"ENSG00000165092","ALDH1A1",879.355471613483,-2.89734521738441,0.261024660375457,8.1887272195823e-30,8.82744794270972e-27
"ENSG00000136244","IL6",128.330482598398,4.80453135825381,0.441943422570522,1.84529734683701e-28,1.83621280605258e-25
"ENSG00000163735","CXCL5",144.034028351958,5.34530508703045,0.50657349586317,1.79303909494925e-27,1.65676812373311e-24
"ENSG00000111341","MGP",2982.11423310167,-2.31234701745508,0.217990797708553,2.00830270100949e-27,1.73196024935058e-24
"ENSG00000120708","TGFBI",3135.57201357778,2.10640078854523,0.20143513347571,1.15990960980932e-26,9.37786919530835e-24
"ENSG00000095303","PTGS1",410.842270054677,3.11395804227678,0.299588500498611,1.39382210453204e-26,1.06061663201332e-23
"ENSG00000138449","SLC40A1",178.368869843187,-3.46807240049647,0.347680262581497,1.56629129857468e-24,1.12564134657567e-21
"ENSG00000169429","CXCL8",1062.1265447846,2.54000100856156,0.259976971754427,1.09648754855154e-23,7.46534890950671e-21
"ENSG00000113739","STC2",535.307302836918,2.6681627734092,0.273692009361099,1.50357475947434e-23,9.72512154428005e-21
"ENSG00000080573","COL5A3",154.389230283565,3.73838409444688,0.386738088178463,2.76559171683641e-23,1.62616792949981e-20
"ENSG00000102265","TIMP1",4413.70456623201,2.10589278233839,0.217094604801713,2.69842692956428e-23,1.62616792949981e-20
"ENSG00000173598","NUDT4",445.718078146696,-2.04705734555949,0.211815593699608,3.62839457784969e-23,2.04073531561146e-20
"ENSG00000126709","IFI6",648.577533559266,5.39916935978519,0.564458068406743,5.88381744375728e-23,3.17137760218517e-20
"ENSG00000189056","RELN",314.16545053994,-3.06930246146532,0.322616993105939,1.19185490650718e-22,6.16713402823075e-20
"ENSG00000184164","CRELD2",332.857485936152,-3.2345972780749,0.340165570958582,1.32139228493931e-22,6.57443484537496e-20
"ENSG00000125538","IL1B",258.45790593997,3.44909190749847,0.363299084734675,1.51785426524124e-22,7.27220843524472e-20
"ENSG00000142173","COL6A2",971.958864365503,4.23997287607492,0.452556315199179,4.60272165801479e-22,2.12645740600283e-19
"ENSG00000144810","COL8A1",2708.49338928274,-2.75425336169892,0.296046307984302,8.74638961843896e-22,3.90149296910781e-19
"ENSG00000120885","CLU",3909.6720851424,-4.02606579737279,0.433430432162938,1.00723596508134e-21,4.34320148143075e-19
"ENSG00000186340","THBS2",311.101537266841,2.6237499128891,0.282835481692579,1.20797280896552e-21,5.04075363121869e-19
"ENSG00000108821","COL1A1",5071.573994475,2.36444073207689,0.262421413915212,1.40513978636145e-20,5.68027758636615e-18
"ENSG00000163359","COL6A3",731.699757580089,2.92038841350698,0.325438148045978,1.92778720343989e-20,7.55692583748437e-18
"ENSG00000167797","CDK2AP2",320.105853765094,-2.5364560228308,0.285587392814708,5.2345196175232e-20,1.99158075800824e-17
"ENSG00000170323","FABP4",467.464270146688,-3.20911538555259,0.363049764807904,6.73080545906114e-20,2.487705697669e-17
"ENSG00000134824","FADS2",558.527055633735,2.94122235107144,0.337709607207059,1.90266978599452e-19,6.8369267643403e-17
"ENSG00000142910","TINAGL1",560.069463333569,-2.94877258054746,0.339835238336796,2.79451732132508e-19,9.77023677531383e-17
"ENSG00000151012","SLC7A11",216.393064250862,2.44879722855262,0.28262278991841,3.1832449232677e-19,1.08364358756292e-16
"ENSG00000128228","SDF2L1",456.543724998564,-2.44853206419764,0.284300573655782,5.55339768622658e-19,1.84201929407762e-16
"ENSG00000125730","C3",168.455486306428,5.19386981769571,0.603140625064704,6.232571799129e-19,2.01561371983832e-16
"ENSG00000167772","ANGPTL4",519.866778180083,2.59269568004568,0.302882034248061,7.10079828836821e-19,2.24038845508125e-16
"ENSG00000167552","TUBA1A",1110.75407613614,-1.91244344360294,0.224074646459467,1.21472055852885e-18,3.74133932026887e-16
"ENSG00000120694","HSPH1",240.613204427826,-2.47959556623019,0.292399466642146,1.68475918056503e-18,5.06838250227657e-16
"ENSG00000174807","CD248",208.243183468576,2.4471526511379,0.290933499813888,2.92501019047897e-18,8.59952996000817e-16
"ENSG00000108342","CSF3",121.557985456563,7.18518505112912,0.833364272677661,5.63792748857381e-18,1.62071622204868e-15
"ENSG00000074181","NOTCH3",131.428325052198,3.18191437078403,0.388448199606058,1.41114027883958e-17,3.96837187979755e-15
"ENSG00000026508","CD44",389.54572537766,1.95167400658544,0.237896103443124,1.93808919901494e-17,5.33428125073559e-15
"ENSG00000114698","PLSCR4",263.767434785621,-2.43280959656212,0.300565161269359,4.17361865312724e-17,1.12479022701779e-14
"ENSG00000137801","THBS1",5741.53328847969,-1.93871246334772,0.243262459829541,1.35079336602146e-16,3.56609448629666e-14
"ENSG00000102010","BMX",77.6504099997921,-3.0876976013503,0.389743646766694,1.46475999079849e-16,3.78962704819385e-14
"ENSG00000259706","HSP90B2P",206.683311451432,-2.45123347756601,0.310418347932258,1.83271636688604e-16,4.64863116118388e-14
"ENSG00000092621","PHGDH",100.886420457536,2.9633654806568,0.377255488124823,3.15553697826653e-16,7.85000506747229e-14
"ENSG00000183090","FREM3",59.403334296473,-5.40638216558973,0.67659722783955,4.66147402036428e-16,1.13775147032891e-13
"ENSG00000142188","TMEM50B",180.47856372296,-2.86392850395931,0.370837643418267,5.93192886525115e-16,1.42102651483128e-13
