"","experiment","method","missingness","noise","iteration","dir","file_name","median_r2","mean_r2","sd_r2","n_genes","n_methylation","n_cnv","n_edges","n_intra_edges","n_inter_edges","edge_density","clustering","betweenness_t200","time","recall_reference","precision_reference","f1_score_reference","fp_reference","fn_reference","tp_reference","r2mw.p.value_reference","recall_stability","precision_stability","f1_score_stability","fp_stability","fn_stability","tp_stability","r2mw.p.value_stability"
"2","mor","cocolasso_mor","0","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_1.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"81.9928851127625","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"4","mor","cocolasso_mor","0","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_2.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"82.0690801143646","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"7","mor","cocolasso_mor","0","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_3.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"81.7659254074097","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"10","mor","cocolasso_mor","0","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_4.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"82.0871286392212","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"13","mor","cocolasso_mor","0","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0_iteration_5.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"82.1573932170868","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"21","mor","cocolasso_mor","0.1","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_1.csv","0.340677631210618","0.34888623949447","0.145971929641158","8772","5859","7178","47158","28119","19039","9.91525270063747e-05","0.0967153415229196",NA,"454.172540664673","0.963395225464191","0.967377639513328","0.965382325423152","1531","1725","45400","0.0753040542849526","0.701782768176066","0.890453834115806","0.784940072021069","5390","18618","43813","3.61219132086304e-05"
"5","mor","cocolasso_mor","0.1","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_2.csv","0.341928049236193","0.348480728473061","0.145438400784015","8751","5800","7133","46977","28081","18896","9.99140378132042e-05","0.0978096013252109",NA,"405.674350738525","0.963671087533156","0.970653614329073","0.967149748165817","1373","1712","45413","0.146390729226893","0.701798785859589","0.892705786471068","0.785823820071562","5266","18617","43814","7.65809232339745e-06"
"8","mor","cocolasso_mor","0.1","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_3.csv","0.341971231478182","0.349217142216179","0.145815266786502","8732","5798","7133","46929","28051","18878","0.000100005560623706","0.0977934991264586",NA,"150.308531284332","0.96","0.967679835725439","0.963824619711108","1511","1885","45240","0.0366252700130101","0.700405247393122","0.892278496510631","0.784784227859688","5279","18704","43727","0.000139040677798029"
"11","mor","cocolasso_mor","0.1","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_4.csv","0.341312895863629","0.348393497124934","0.144928439476852","8753","5826","7150","47119","28160","18959","9.98013859436406e-05","0.0985601167356924",NA,"387.866467237473","0.966599469496021","0.970719232818327","0.968654970760234","1374","1574","45551","0.161112320345842","0.704489756691387","0.893343895354742","0.787756125519415","5251","18449","43982","6.14318087025917e-06"
"14","mor","cocolasso_mor","0.1","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.1_iteration_5.csv","0.339025736477219","0.347232913944054","0.145392397849446","8753","5817","7196","47224","28225","18999","9.96840039871069e-05","0.0980830056419901",NA,"325.320549726486","0.970907161803714","0.97313737584278","0.972020989568949","1263","1371","45754","0.874003727844274","0.70346462494594","0.891428339456431","0.786370391591613","5349","18513","43918","6.84977279910987e-09"
"3","mor","cocolasso_mor","0.5","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.5_iteration_1.csv","0.362762458114598","0.365257913839727","0.149458452896729","8803","5868","7135","46727","27687","19040","9.82733589351203e-05","0.0961717173183871",NA,"306.629592418671","0.897336870026525","0.915065350991085","0.906114402648467","3925","4838","42287","1.19500837991423e-75","0.68467588217392","0.881322034597225","0.770652291493888","5756","19686","42745","5.49728264161875e-37"
"6","mor","cocolasso_mor","0.5","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.5_iteration_2.csv","0.34995859002596","0.35618836895353","0.145837741506667","8681","5701","7056","45676","27165","18511","9.93893361300217e-05","0.0977223179929774",NA,"230.538897752762","0.896594164456233","0.928288953335091","0.912166319448192","3264","4873","42252","1.87741360340546e-21","0.684868094376191","0.893077951374384","0.775236385723481","5119","19674","42757","0.000193770520204446"
"9","mor","cocolasso_mor","0.5","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.5_iteration_3.csv","0.355474259183411","0.360430317370459","0.147737772375515","8713","5763","7065","46191","27409","18782","9.95510407761632e-05","0.0957327497032851",NA,"334.523367643356","0.887299734748011","0.913887310399091","0.900397291099172","3940","5311","41814","7.52835187416743e-42","0.680062789319409","0.882571820562923","0.768195264933913","5649","19974","42457","5.19974174062921e-15"
"12","mor","cocolasso_mor","0.5","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.5_iteration_4.csv","0.353030195909541","0.357837788367351","0.147159361684873","8722","5785","7096","45831","26959","18872","9.82090038544446e-05","0.0973903919318799",NA,"130.912141799927","0.893411140583554","0.927438540840603","0.910106894650944","3294","5023","42102","3.76079145281803e-28","0.680447213723951","0.889803527292531","0.77116897969557","5261","19950","42481","1.63758676082337e-07"
"15","mor","cocolasso_mor","0.5","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mor_experiment_noise_0_missing_0.5_iteration_5.csv","0.352574694932351","0.357782147169059","0.146103864014673","8705","5733","7113","46440","27584","18856","9.99948215429412e-05","0.0979527137309684",NA,"183.228876113892","0.893241379310345","0.914748897146707","0.903867213501965","3923","5031","42094","2.33608847470324e-29","0.684083227883583","0.883345743360635","0.771048664458065","5640","19723","42708","5.2262401321453e-08"
"16","moran","cocolasso_moran","0","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0_iteration_1.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"81.9928851127625","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"41","moran","cocolasso_moran","0","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0_iteration_2.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"82.0690801143646","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"71","moran","cocolasso_moran","0","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0_iteration_3.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"81.7659254074097","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"101","moran","cocolasso_moran","0","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0_iteration_4.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"82.0871286392212","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"131","moran","cocolasso_moran","0","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0_iteration_5.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,"82.1573932170868","1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"22","moran","cocolasso_moran","0.1","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.1_iteration_1.csv","0.306340430076387","0.312147180958166","0.122092567149839","8586","5616","6934","45326","27024","18302","0.000101466421030444","0.0959837468725898",NA,"454.172540664673","0.910854111405835","0.950381932912654","0.930198288005201","2241","4201","42924","6.82138357848278e-253","0.684483669971649","0.898941876853819","0.77718972792085","4804","19698","42733","0"
"51","moran","cocolasso_moran","0.1","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.1_iteration_2.csv","0.305113250221367","0.311373081231732","0.122279480249851","8577","5632","6951","45308","27017","18291","0.000101196173253352","0.0968594399695425",NA,"405.674350738525","0.90915649867374","0.948694670180023","0.928504865310015","2317","4281","42844","1.77691880476949e-265","0.68467588217392","0.898929570356039","0.777309014202324","4806","19686","42745","0"
"81","moran","cocolasso_moran","0.1","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.1_iteration_3.csv","0.30665241688331","0.311970946838397","0.122661177975655","8620","5646","6944","45543","27187","18356","0.000101242013628358","0.0982195156994286",NA,"150.308531284332","0.911936339522546","0.947566864375014","0.929410238110686","2378","4150","42975","6.96229043583761e-257","0.686341721260271","0.897060670770004","0.777679973139015","4917","19582","42849","0"
"111","moran","cocolasso_moran","0.1","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.1_iteration_4.csv","0.306695249280759","0.31166489739226","0.122241978647012","8610","5640","6948","45201","26962","18239","0.00010059554673456","0.0958959635196757",NA,"387.866467237473","0.91004774535809","0.950782600984348","0.929969316173521","2220","4239","42886","5.96095331973789e-259","0.68387499799779","0.899410153781336","0.776972002074594","4775","19736","42695","0"
"141","moran","cocolasso_moran","0.1","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.1_iteration_5.csv","0.308907606659488","0.312543475496043","0.121966381718913","8586","5633","6886","45470","27242","18228","0.000102088029113252","0.097506545731741",NA,"325.320549726486","0.91216976127321","0.947370740952969","0.929437074995405","2388","4139","42986","1.2668450260077e-244","0.688824462206276","0.899646450911069","0.780245300820089","4797","19427","43004","0"
"31","moran","cocolasso_moran","0.5","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.5_iteration_1.csv","0.171198955789595","11.7453279137479","770.261191572097","6748","3209","4178","22198","12979","9219","0.000111109948745168","0.0699419917637161",NA,"306.629592418671","0.444519893899204","0.906839826839827","0.596596653613386","2152","26177","20948","0","0.355976998606462","0.904223289120352","0.510843705823536","2354","40207","22224","0"
"61","moran","cocolasso_moran","0.5","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.5_iteration_2.csv","0.170654737903923","1415.26463307921","53246.1656430179","6615","3130","4101","21635","12659","8976","0.000112859887279916","0.0681905115157697",NA,"230.538897752762","0.433803713527851","0.904517499225698","0.586380976966985","2158","26682","20443","0","0.346350370809374","0.901183629240644","0.500387619323112","2371","40808","21623","0"
"91","moran","cocolasso_moran","0.5","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.5_iteration_3.csv","0.170650399150021","9139.92735472424","426174.76463861","6711","3269","4219","22282","12972","9310","0.000110527218004526","0.0683404486006641",NA,"334.523367643356","0.447851458885942","0.907702894499161","0.599778333522792","2146","26020","21105","0","0.356793900466115","0.902662398184544","0.511434081829453","2402","40156","22275","0"
"121","moran","cocolasso_moran","0.5","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.5_iteration_4.csv","0.170663156467316","137.889458301486","11618.798377332","6718","3225","4162","22122","12907","9215","0.000111201078211123","0.069136137187786",NA,"130.912141799927","0.442079575596817","0.903034243606415","0.593575040957333","2237","26292","20833","0","0.353093815572392","0.900637359045596","0.50730090786703","2432","40387","22044","0"
"151","moran","cocolasso_moran","0.5","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_moran_experiment_noise_0_missing_0.5_iteration_5.csv","0.171417765512462","15074.8343733237","975946.120570991","6643","3186","4099","21817","12705","9112","0.000112473108425747","0.068547045801264",NA,"183.228876113892","0.436307692307692","0.904854112573164","0.588735540029779","2162","26564","20561","0","0.348208422097996","0.901584273390843","0.502386097084686","2373","40692","21739","0"
"17","mos","cocolasso_mos","0","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0_iteration_1.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,NA,"1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"42","mos","cocolasso_mos","0","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0_iteration_2.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,NA,"1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"72","mos","cocolasso_mos","0","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0_iteration_3.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,NA,"1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"102","mos","cocolasso_mos","0","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0_iteration_4.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,NA,"1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"132","mos","cocolasso_mos","0","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0_iteration_5.csv","0.338822266154485","0.347081801241416","0.144997160380314","8736","5815","7157","47125","28202","18923","0.000100007309605882","0.0978067830785403",NA,NA,"1","1","1","0","0","47125","1","0.704121349970367","0.892550405067917","0.78721727762755","5292","18472","43959","3.15285654776558e-09"
"23","mos","cocolasso_mos","0.1","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0.1_iteration_1.csv","0.335351311209729","0.343698385179845","0.144243832388149","8708","5832","7137","47110","28173","18937","0.000100261635408546","0.0975363554325378",NA,NA,"0.972838196286472","0.977296951609465","0.975062476737385","1065","1280","45845","0.000541498182976751","0.703752943249347","0.893244149877","0.787256535684209","5251","18495","43936","3.43428147948726e-21"
"52","mos","cocolasso_mos","0.1","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0.1_iteration_2.csv","0.335910744538695","0.344577236115927","0.144217184890134","8695","5778","7100","46956","28132","18824","0.00010089976130876","0.0977113525060101",NA,NA,"0.971649867374005","0.978564711916567","0.975095030718613","1003","1336","45789","0.00978602874334646","0.70340055421185","0.894615682359892","0.787567926254058","5173","18517","43914","1.75889837319449e-17"
